user_id,department_id,is_ordered_history,order_size_history,order_number_history,num_products_from_department_history
4,4,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
4,5,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
4,7,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
4,15,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
4,17,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
5,1,0 0 1,0 0 0,1 2 3 4,0 0 0
5,4,0 0 0,0 0 0,1 2 3 4,0 0 0
5,6,0 0 0,0 0 0,1 2 3 4,0 0 0
5,9,0 0 0,0 0 0,1 2 3 4,0 0 0
5,13,0 0 0,0 0 0,1 2 3 4,0 0 0
5,16,0 0 0,0 0 0,1 2 3 4,0 0 0
5,19,0 0 0,0 0 0,1 2 3 4,0 0 0
6,4,1 1,0 0,1 2 3,0 0
6,12,0 0,0 0,1 2 3,0 0
6,13,0 0,0 0,1 2 3,0 0
6,15,0 0,0 0,1 2 3,0 0
6,16,0 0,0 0,1 2 3,0 0
7,1,0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,7,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,8,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,12,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,13,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,16,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,17,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,19,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7,20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8,4,1 1,0 0,1 2 3,0 0
8,6,0 0,0 0,1 2 3,0 0
8,9,0 0,0 0,1 2 3,0 0
8,13,0 0,0 0,1 2 3,0 0
8,15,0 0,0 0,1 2 3,0 0
8,16,0 0,0 0,1 2 3,0 0
9,1,1 0,0 0,1 2 3,0 0
9,3,0 0,0 0,1 2 3,0 0
9,4,0 0,0 0,1 2 3,0 0
9,7,0 0,0 0,1 2 3,0 0
9,12,0 0,0 0,1 2 3,0 0
9,13,0 0,0 0,1 2 3,0 0
9,14,0 0,0 0,1 2 3,0 0
9,15,0 0,0 0,1 2 3,0 0
9,16,0 0,0 0,1 2 3,0 0
9,17,0 0,0 0,1 2 3,0 0
9,18,0 0,0 0,1 2 3,0 0
9,19,0 0,0 0,1 2 3,0 0
10,1,0 1 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
10,4,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
10,6,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
10,12,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
10,13,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
10,15,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
10,16,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
10,19,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
10,20,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
11,1,1 0 0 0 0 1,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
11,2,0 0 0 0 0 0,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
11,3,0 0 0 0 0 0,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
11,4,0 0 0 0 0 0,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
11,6,0 0 0 0 0 0,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
11,7,0 0 0 0 0 0,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
11,13,0 0 0 0 0 0,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
11,15,0 0 0 0 0 0,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
11,16,0 0 0 0 0 0,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
11,17,0 0 0 0 0 0,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
11,20,0 0 0 0 0 0,0 0 0 0 0 0,1 2 3 4 5 6 7,0 0 0 0 0 0
12,1,0 1 1 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,3,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,4,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,7,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,8,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,9,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,11,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,12,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,13,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,15,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,16,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,19,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
12,20,0 0 0 0,0 0 0 0,1 2 3 4 5,0 0 0 0
13,3,0 1 1 1 1 1 1 1 0 0 1,0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12,0 0 0 0 0 0 0 0 0 0 0
13,4,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12,0 0 0 0 0 0 0 0 0 0 0
13,7,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12,0 0 0 0 0 0 0 0 0 0 0
13,9,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12,0 0 0 0 0 0 0 0 0 0 0
13,13,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12,0 0 0 0 0 0 0 0 0 0 0
13,14,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12,0 0 0 0 0 0 0 0 0 0 0
13,15,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12,0 0 0 0 0 0 0 0 0 0 0
13,16,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12,0 0 0 0 0 0 0 0 0 0 0
13,19,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12,0 0 0 0 0 0 0 0 0 0 0
13,21,0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12,0 0 0 0 0 0 0 0 0 0 0
14,1,0 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,2,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,3,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,4,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,5,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,6,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,7,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,9,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,12,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,13,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,14,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,15,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,16,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,17,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,19,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,20,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
14,21,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13,0 0 0 0 0 0 0 0 0 0 0 0
15,17,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15,19,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15,7,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16,1,1 0 1 1 0,0 0 0 0 0,1 2 3 4 5 6,0 0 0 0 0
16,4,0 0 0 0 0,0 0 0 0 0,1 2 3 4 5 6,0 0 0 0 0
16,9,0 0 0 0 0,0 0 0 0 0,1 2 3 4 5 6,0 0 0 0 0
16,12,0 0 0 0 0,0 0 0 0 0,1 2 3 4 5 6,0 0 0 0 0
16,13,0 0 0 0 0,0 0 0 0 0,1 2 3 4 5 6,0 0 0 0 0
16,14,0 0 0 0 0,0 0 0 0 0,1 2 3 4 5 6,0 0 0 0 0
16,16,0 0 0 0 0,0 0 0 0 0,1 2 3 4 5 6,0 0 0 0 0
16,19,0 0 0 0 0,0 0 0 0 0,1 2 3 4 5 6,0 0 0 0 0
17,1,0 1 1 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17,5,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17,7,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17,9,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17,13,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17,14,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17,16,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
