user_id,order_ids,order_numbers,product_ids,aisle_ids,department_ids,reorders
29,2064090 875452 2657652 2999889 1207762 370715 1049206 2655002 685887 3167222 2865794 1062536 620971 3090640 3202175 2376709 1748639 1647841,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,49615_39170_48800_39185_36543_3696_28862_9875_12879_1261_28993_41210 40592_39185_49615_48800_36543_3696_9875_28862 36543_48800_49615_9875_39170_29628_35507_39803_20874 36543_48800_49615_9875_39170_39185_12879_39803_16953_33027_7930 36543_39170_48800_39185_49615_9875_21645_1330_6128_48290_169_34749 36543_39185_39170_49615_48800_9875_12879_48290_6128_48118_38233_29267_38053 36543_39185_49615_48800_39170_9875_3696_29267_33027_35507_1330_41210_28862 39170_39185_49615_9875_29267_5210 39185_39170_49615_9875_36543_33973_19541_43282 39185_39170_9875_49615_36543_48800_19541_33027_12879_1330_6128_33161_43928 39185_49615_39170_36543_35507_39803_20874_41298_12720 9875_19541_6128_49615_39170_36543_35507_39185_32987_17817_20305 39170_9875_19541_6128_48800_33027_1330_32987_12879_39803_41298_8806_22259_27612_40214_26360_48290_2839_21496_8523 39170_9875_49615_19541_48800_6128_32987_48290_35507_41298_8523_15293_1261_3128_11586_30389_27612_45458_21496 39170_49615_48800_35507_19541_6128_1330_27612_8806_20305_12720_34749_42551_35385_39803_9875_42258_13129 9875_6128_49615_39170_48800_19541_20305_27612_33027_35385_39803_16953_41210_10500_41653_31608_30695_49507 39170_49615_19541_48800_35507_6128_20305_35385_39803_1330_31608_42551_21410_37645_33945_8806 39170_6128_35385_33945_49615_39803_20305_16953_19205,98_61_37_61_88_78_38_38_96_89_83_11 54_61_98_37_88_78_38_38 88_37_98_38_61_54_115_17_1 88_37_98_38_61_61_96_17_88_21_130 88_61_37_61_98_38_101_54_78_21_21_45 88_61_61_98_37_38_96_21_78_114_61_61_61 88_61_98_37_61_38_78_61_21_115_54_11_38 61_61_98_38_61_59 61_61_98_38_88_75_8_22 61_61_38_98_88_37_8_21_96_54_78_95_21 61_98_61_88_115_17_1_78_36 38_8_78_98_61_88_115_61_116_110_52 61_38_8_78_37_21_54_116_96_17_78_26_77_3_48_120_21_96_70_107 61_38_98_8_37_78_116_21_115_78_107_123_89_100_99_99_3_65_70 61_98_37_115_8_78_54_3_26_52_36_45_38_53_17_38_17_96 38_78_98_61_37_8_52_3_21_53_17_88_11_20_52_45_45_111 61_98_8_37_115_78_52_53_17_54_45_38_96_51_107_26 61_78_53_107_98_17_52_88_51,7_19_1_19_13_19_1_1_20_13_4_11 17_19_7_1_13_19_1_1 13_1_7_1_19_17_7_13_20 13_1_7_1_19_19_20_13_13_16_14 13_19_1_19_7_1_17_17_19_16_16_19 13_19_19_7_1_1_20_16_19_17_19_19_19 13_19_7_1_19_1_19_19_16_7_17_11_1 19_19_7_1_19_15 19_19_7_1_13_17_3_11 19_19_1_7_13_1_3_16_20_17_19_15_16 19_7_19_13_7_13_20_19_16 1_3_19_7_19_13_7_19_1_13_1 19_1_3_19_1_16_17_1_20_13_19_7_7_19_14_16_16_20_11_19 19_1_7_3_1_19_1_16_7_19_19_4_13_21_15_15_19_11_11 19_7_1_7_3_19_17_19_7_1_16_19_1_16_13_1_13_20 1_19_7_19_1_3_1_19_16_16_13_13_11_11_1_19_19_17 19_7_3_1_7_19_1_16_13_17_19_1_20_13_19_7 19_19_16_19_7_13_1_13_13,0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0
30,375303 2156000 3169631 1645927 986094 2299885 137318 3333738,1 2 3 4 5 6 7 8,21386_27839_45128 21386 21386 21386 21386 6184 38300 38300_23288,115_45_45 115 115 115 115 32 60 60_115,7_19_19 7 7 7 7 4 17 17_7,0_0_0 0 0 0 0 0 0 0_0
31,2150649 695934 638062 2135842 2623412 1183257 1341128 1120389 3352995 1593000 2582407 673583 3035956 2951746 2258440 2647083 2231262 963053 813240 1765409,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,19677_34789_27086_48988_12440_34492_36099_40310_4595_7788_28647_29513_27356 9340_32858_42352_35413_6387_20014_26029_49363 34492_27356_33846_6631_43928_48290_15526_46996_33483_49617 44987_2197_24746_41406_16696 25422_25132_22557 34492_23915_2229_30287_48988_46172_6350_19213_13966_21471_38175 12440_28647_41131_31081_48812_23009_29926_28155 28647_48988_19213_19677_1940_22557_12863_24117_30887_40225_41406_27356_18752_22788_31670_10612_12440_37646_10246_37084_10755_100_19809_27687_36133_44571_9804_15623_9694_6631_36691_26246_41385_11281_49198 1940_33168 47141_48988_1940_44375_12440_30287_12099_22557_24117_25110_40709_17981_41406_40225_26246_27086_196_4595_40711_36691_36133_19809_44571_15623_7788_25985_34898_18077_45321_29003 35914_3519_12440_16221_28647_11281_33322 23915_2229_9421_6287_20794_45603_21953_10341_45036_25101_27726_44375_11463_27658_36144_13966_19213_23814_35413_48440_25422_28281_40711_14328_15371_28577 9421_20794_29627_6287_21953_8736_20947_16398_31883_35413_46172_16600_28647 4138_44375_6631_25518_2870_38376_34177_25985_33944_18109_16682_24303_34234_39891_13966_19213_41406_21131_48142_25232_25422_2099_11463_36144_8385_16696 27086_42562_32566 35413_19213_13966_12440_12099_40711_21953_47933_25985_11148_44571_15623_19809_4595_45104_45036_25518_38376_34177_35914_45321_49662_2197_29513_29529_9292_4924_24231_39270_28577_29775_10341_16696_41406_44987 4595_45603_3648_17333_25232_2422_27828_3161_35413_6387_16600_23572_45669_196_41406_21781_30162_16682_19213_13966_48599_47366_6187_8736_2974 3703_39132_28956 32566_30287_13385_24303_33944_30162_43252_10197_36144_41290_38318_928_13396_34827_36315_31437_42352_9340_3990_46941_1263_11148_23032_13255_12962_42356_14386_44100_28682_23580_41414 32566_40865_16419_46175_49573,91_91_53_94_31_129_96_96_96_96_107_107_67 38_38_38_38_38_79_79_38 129_67_67_31_21_21_21_21_2_2 53_77_64_77_77 121_37_37 129_38_38_89_94_38_38_38_38_38_38 31_107_27_27_85_27_117_27 107_94_38_91_84_37_112_107_110_37_77_67_61_21_130_130_31_24_83_128_119_38_38_38_38_38_79_38_38_31_115_37_78_61_77 84_111 77_94_84_77_31_89_120_37_107_106_107_77_77_37_37_53_77_96_37_115_38_38_38_38_96_106_21_70_129_129 84_31_31_61_107_61_61 38_38_31_31_31_31_31_94_94_94_77_77_96_96_96_38_38_38_38_129_121_37_37_37_37_31 31_31_31_31_31_31_31_31_38_38_38_38_107 77_77_31_94_94_94_94_106_106_106_106_106_86_116_38_38_77_77_77_121_121_17_96_96_96_77 53_84_84 38_38_38_31_120_37_31_107_106_77_38_38_38_96_91_94_94_94_94_84_129_107_77_107_77_84_59_37_45_31_44_94_77_77_53 96_31_27_31_121_38_38_15_38_38_38_38_38_77_77_106_38_106_38_38_38_121_121_31_77 111_111_111 84_89_106_106_106_38_7_7_96_31_130_69_69_69_69_69_38_38_21_21_21_77_66_61_88_88_51_37_37_37_37 84_105_112_37_37,16_16_16_7_7_1_20_20_20_20_19_19_20 1_1_1_1_1_1_1_1 1_20_20_7_16_16_16_16_16_16 16_7_7_7_7 14_1_1 1_1_1_13_7_1_1_1_1_1_1 7_19_5_5_17_5_19_5 19_7_1_16_16_1_3_19_13_1_7_20_19_16_14_14_7_4_4_3_1_1_1_1_1_1_1_1_1_7_7_1_19_19_7 16_17 7_7_16_7_7_13_16_1_19_12_19_7_7_1_1_16_7_20_1_7_1_1_1_1_20_12_16_11_1_1 16_7_7_19_19_19_19 1_1_7_7_7_7_7_7_7_7_7_7_20_20_20_1_1_1_1_1_14_1_1_1_1_7 7_7_7_7_7_7_7_7_1_1_1_1_19 7_7_7_7_7_7_7_12_12_12_12_12_16_1_1_1_7_7_7_14_14_13_20_20_20_7 16_16_16 1_1_1_7_16_1_7_19_12_7_1_1_1_20_16_7_7_7_7_16_1_19_7_19_7_16_15_1_19_7_11_7_7_7_16 20_7_5_7_14_1_1_12_1_1_1_1_1_7_7_12_1_12_1_1_1_14_14_7_7 17_17_17 16_13_12_12_12_1_12_12_20_7_14_15_15_15_15_15_1_1_16_16_16_7_6_19_13_13_13_1_1_1_1 16_13_3_1_1,0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0 0_0_0_0_0 0_0_0 0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0
32,134879 1275838 1709286 72626 1210985,1 2 3 4 5,42342_23765_39812_46979_39037_40706_39732_2452_7781_4605_24852_47089_32433_45364_39911 15592_49215_24852_34358_9203_5612_27531_32864_7963_38984_45007_14678_34126_39911_45364_6069_17224_21777_41259_12341_31683_9637_37646_13629_25005_4799_21927_17149_11130_5134_12745_9934_22849_26209_39812_46979_49175 49478_39275_39097_20168_9637_28696_49215_35221_4793_17758_18523_40571_7781_43692_35629_43713_13629_43504_21927_43789_578 21927_4793_9637_24852_9203_46979_45774_33754_18370_21137_8239_13629_11130_49215_22963_2452_4962_17630_37718 4793_9637_49215_14332_10831_13049_6069_11130_27966_24489_17630_21137_48110_48079_20168_45364_39911_49175_43692_6187_24852_45774,96_96_16_83_123_123_110_129_21_83_24_17_116_42_42 123_92_24_83_120_84_53_123_58_92_83_116_16_42_42_3_3_57_83_32_31_94_24_83_63_21_35_34_78_117_120_120_123_24_16_83_59 24_123_112_88_94_5_92_115_120_120_120_120_21_21_39_88_83_34_35_16_10 35_120_94_24_120_83_31_120_21_24_88_83_78_92_96_129_120_120_120 120_94_92_72_120_120_3_78_123_116_120_24_78_63_88_42_42_59_21_121_24_31,20_20_4_4_4_4_13_1_16_4_4_13_1_1_1 4_18_4_4_16_16_16_4_1_18_4_1_4_1_1_19_19_14_4_4_7_7_4_4_9_16_12_1_19_19_16_16_4_4_4_4_15 4_4_3_13_7_13_18_7_16_16_16_16_16_16_12_13_4_1_12_4_17 12_16_7_4_16_4_7_16_16_4_13_4_19_18_20_1_16_16_16 16_7_18_13_16_16_19_19_4_1_16_4_19_9_13_1_1_15_16_14_4_7,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
33,2906103 2612991 1537903,1 2 3,33198_32912_49517_8501_37131_38049_18894_19766_15057_8920_2408_7969_15718_36086_38690_35458_42441_7039_37507_32441_17498_14895_34254 33198_32912_18894_37131_8501_7969_35921_38690_15718_7039_34254_32441_47145 33198_32912_37131_8501_35921_7969_14947_32441_13187_14283_27903_15718_49680_40706_455_2516_2514,115_78_84_26_83_107_93_21_54_21_21_24_21_108_78_93_75_75_70_21_80_60_54 115_78_93_83_26_24_86_78_21_75_54_21_123 115_78_83_26_86_24_115_21_42_54_54_21_89_123_133_11_20,7_19_16_7_4_19_3_16_17_16_16_4_16_16_19_3_17_17_11_16_11_17_17 7_19_3_4_7_4_16_19_16_17_17_16_4 7_19_4_7_16_4_7_16_1_17_17_16_13_4_11_11_11,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
34,2383661 1569834 1916863 1951139 2344038,1 2 3 4 5,3957 3957_26751 16349_31717_14678_25146_33731_38273_19514_45007_4562_4086_34310_27845_35547 38273_5134_7054_15604_21137_35547_4605_49248 2099_7054_15604_3957_49267_21783_3098_12204,31 31_9 83_16_116_31_21_9_85_83_83_16_89_84_83 9_117_120_120_24_83_83_63 17_120_120_31_69_37_74_116,7 7_9 4_4_1_7_16_9_17_4_4_4_13_16_4 9_19_16_16_4_4_4_9 13_16_16_7_15_1_17_1,0 0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0
35,1269089 2562704 1136841 457048 2880466 1830981 3309528 1316279 2903057,1 2 3 4 5 6 7 8 9,10644_31506_38596_39097_22963_5337_5025_21841_44201_21903_4942_24518_44142_10749 45084_28842_44142_48230_2846_32030_45066_33043_14462_4799_4487_21903_24852_26209_21940_28993_39993_37766_16290_4942 6258_30727_4942_19677_47280_21137_39275_6111_34969_6873_44142_7969_48230_28842_33368_47766_42450_45290 35547_24518_34126_47766_28993_39993_32030_42585_27229_45290_43789_44142_21940_45066_21903_37766_46802_24852_43961_25005_7969_21137_39275_9076_28156_45104_4605_4942_25466_210_14168_39619_13587 35343_26209_24852_32419_694_25826_6384_4942_12614_16797_39275_21267_32030_48230_44142_32611_44830_5212_20734_42828_27729_25931_37766_46802_28785_28156_45763_42625_34358_11140_42585_24622 45066_24622_42585_34358_42625_45763_28156_28785_46802_25931_37766_27729_42828_20734_32611_44830_44142_48230_32030_21267_39275_12614_16797_4942_6384_694_32419_25826_24852_26209_35343_18150 48230_32030_47766_21267_18150_24852_25826_694_6111_2838_28289_42450_31883 24852_4942_32030_44830_45066_18150_694_6111_42585_21903_21137_2846_39275_13988 47966_48230_8518_694_4942_28156_7969_18150,19_19_108_112_96_21_83_128_78_123_91_3_83_83 37_16_83_128_83_21_24_105_110_21_81_123_24_24_8_83_83_123_77_91 57_57_91_91_31_24_123_120_83_83_83_24_128_16_83_24_38_131 83_3_16_24_83_83_21_14_66_131_16_83_8_24_123_123_116_24_123_63_24_24_123_116_120_91_83_91_115_9_131_9_23 79_24_24_120_120_120_57_91_83_24_123_112_21_128_83_88_88_123_117_108_31_123_123_116_72_120_83_16_83_123_14_83 24_83_14_83_16_83_120_72_116_123_123_31_108_117_88_88_83_128_21_112_123_83_24_91_57_120_120_120_24_24_79_61 128_21_24_112_61_24_120_120_120_89_123_38_38 24_91_21_88_24_61_120_120_14_123_24_83_123_83 130_128_83_120_91_120_24_61,13_13_16_3_20_16_4_3_19_4_16_19_4_4 1_4_4_3_4_16_4_13_13_16_15_4_4_4_3_4_4_4_7_16 14_14_16_16_7_4_4_16_4_4_4_4_3_4_4_4_1_9 4_19_4_4_4_4_16_20_6_9_4_4_3_4_4_4_1_4_4_9_4_4_4_1_16_16_4_16_7_9_9_9_19 1_4_4_16_16_16_14_16_4_4_4_3_16_3_4_13_13_4_19_16_7_4_4_1_13_16_4_4_4_4_20_4 4_4_20_4_4_4_16_13_1_4_4_7_16_19_13_13_4_3_16_3_4_4_4_16_14_16_16_16_4_4_1_19 3_16_4_3_19_4_16_16_16_13_4_1_1 4_16_16_13_4_19_16_16_20_4_4_4_4_4 14_3_4_16_16_16_4_19,0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0
36,3285797 412111 240889 1602446 2472897 1626957 453864 2010389 278124 14400 1145961 746041 682472 3067639 2640464 479244 409708 423623 664952 2833188 1185674 2890966 2671410 1189699 2138456 669187 1460684 2795573 1719560 2693179 903277 2527665 2230383 793311 1032510 182125 2710884,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37,14610_12145_44632_43961_11223_22217_39361_40605_48480_32426_45871 22217_39361_11079_46995_4406_15755_22208_21521_42626 12145_11079_22217_21521_44632 22328_42626_11079_46088 14610_11079_13238_47977 20804_23517_11079_33535 44632_22217_21521_42626_7673_11079_46995 11079_26680 23054_30599_11079_23801_16759 30415_1654_11079 46995_11079_16759_21521 42110_22328_47977_11079_44233 11079_12145_16759_17072 12145_44632_11079_21521_16759 31342_44233_11079_21521_22217_7367_36824_26313_41481 44632_16759_31342_11079 11079_46995_22217_39361_14852_29675 46995_11079_44632_21521_16759_17072_42626_29298 22328_11079_20804_11223 11079_12145_1090_4406_44632_42445 11079_39812_12419 11079_4406_1529_2426 23054_1529 12145_47977_22328_1529 1654_30415_29675 31342_44632 1090 42367_1654_29675_47977 12145_23054_47977 12145_23054_47977 15655 44233_29675_12145_1090_47977_22328 44233 44632 42367 22328 39184_33153_23435_22328,6_66_115_123_76_76_76_76_76_76_59 76_76_27_27_76_76_13_76_76 66_27_76_76_115 23_76_27_27 6_27_47_115 45_66_27_66 115_76_76_76_14_27_27 27_70 112_9_27_131_83 45_45_27 27_27_83_76 4_23_115_27_78 27_66_83_120 66_115_27_76_83 14_78_27_76_76_66_66_63_66 115_83_14_27 27_27_76_76_9_83 27_27_115_76_83_120_76_88 23_27_45_76 27_66_4_76_115_120 27_16_16 27_76_16_13 112_16 66_115_23_16 45_45_83 14_115 4 67_45_83_115 66_112_115 66_112_115 45 78_83_66_4_115_23 78 115 67 23 27_27_109_23,2_6_7_4_6_6_6_6_6_6_15 6_6_5_5_6_6_20_6_6 6_5_6_6_7 19_6_5_5 2_5_11_7 19_6_5_6 7_6_6_6_20_5_5 5_11 3_9_5_9_4 19_19_5 5_5_4_6 9_19_7_5_19 5_6_4_16 6_7_5_6_4 20_19_5_6_6_6_6_9_6 7_4_20_5 5_5_6_6_9_4 5_5_7_6_4_16_6_13 19_5_19_6 5_6_9_6_7_16 5_4_4 5_6_4_20 3_4 6_7_19_4 19_19_4 20_7 9 20_19_4_7 6_3_7 6_3_7 19 19_4_6_9_7_19 19 7 20 19 5_5_11_19,0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0_0 0_0_0_0 0_0_0_0 0_0_0_0 0_0_0_0_0_0_0 0_0 0_0_0_0_0 0_0_0 0_0_0_0 0_0_0_0_0 0_0_0_0 0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0 0_0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0 0_0_0_0_0_0 0_0_0 0_0_0_0 0_0 0_0_0_0 0_0_0 0_0 0 0_0_0_0 0_0_0 0_0_0 0 0_0_0_0_0_0 0 0 0 0 0_0_0_0
37,327827 86313 1354506 2153671 2449761 484397 2568429 711999 1145920 1736749 2484696 712331 1740853 1394419 1751600 1854906 1179244 2615608 2326295 841710 3268585 1294288 1727614,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,25931_24852_8518_13932_651_45007_19048_45200_9839_19057_40298_38693 17948_47500_46969_17794_45200_28278_1158_32299 46979_21938_45063_26369_4367_18027_13932_34819_21903_26620_12395_17170_48364 47766_19057_17600_41220_23165 45007_17170_13932_21903_4367_18027_43713 18027_24852_41065_39748_20995_3382_22825_16349_25588_10322_17794_41220_47672_26620 30305_35108_36287_18889_31727_36149_18027_39748_17170_37250_19048_16349_46969_28278 28278_45007_13932_23165_30305_26620_24852_36606 49235_32347_8239_5933_18891 8518_12395_18090_10305_17794_41065_45007_21616_26369 21938_13932_30450_1360_24852_21137_38159_3481_4367_2314_35108_19511_36606_29898 24852 28204_31528_27086_45200_45007_13932_24852 33000_13110_45200_12395_45007 21903_27521_28204_12099_27104_22825_45007_41065 45200_23165_30450 34819_36287_26620_22825_32347_24852 2888_48775_36287_24852 8986_9036_45007_41065_7021_16759_27104_17424_20549 8986_18918_40604_26620 42289_44632_9036_45007_19048_7863_13922_18918 38650_45007_19048_41065_4367_5134_16185_24125_43713_21616_40604_13922 17794_28278_26369_26209_33232_14010_36994_37220_13431_5020_23579_30489,123_24_83_88_36_83_83_83_83_24_112_24 116_104_24_83_83_131_116_72 83_83_123_83_21_112_88_47_123_115_120_92_83 24_24_120_83_83 83_92_88_123_21_112_88 112_24_83_92_116_83_24_83_24_98_83_83_106_115 83_36_88_19_81_42_112_92_92_116_83_83_24_131 131_83_88_83_83_115_24_112 53_36_88_39_88 83_120_24_24_83_83_83_123_83 83_88_88_88_24_24_24_24_21_108_36_53_112_131 24 24_21_53_83_83_88_24 36_94_83_120_83 123_83_24_120_83_24_83_83 83_83_88 47_88_115_24_36_24 88_83_88_24 120_91_83_83_81_83_83_95_131 120_116_21_115 61_115_91_83_83_81_63_116 63_83_83_83_21_117_21_112_88_123_21_63 83_131_83_24_91_100_121_88_105_3_3_67,4_4_4_13_16_4_4_4_4_4_3_4 1_13_4_4_4_9_1_13 4_4_4_4_16_3_13_11_4_7_16_18_4 4_4_16_4_4 4_18_13_4_16_3_13 3_4_4_18_1_4_4_4_4_7_4_4_12_7 4_16_13_13_15_1_3_18_18_1_4_4_4_9 9_4_13_4_4_7_4_3 16_16_13_12_13 4_16_4_4_4_4_4_4_4 4_13_13_13_4_4_4_4_16_16_16_16_3_9 4 4_16_16_4_4_13_4 16_7_4_16_4 4_4_4_16_4_4_4_4 4_4_13 11_13_7_4_16_4 13_4_13_4 16_16_4_4_15_4_4_15_9 16_1_16_7 19_7_16_4_4_15_9_1 9_4_4_4_16_19_16_3_13_4_16_9 4_9_4_4_16_21_14_13_13_19_19_20,0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0 0 0_0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0 0_0_0_0_0_0 0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0
38,2873174 1308004 1588002 1691300 1244041 718156 894015 795223 3204829 2980672 725451 2479273,1 2 3 4 5 6 7 8 9 10 11 12,14947_4781_27509_31343_2086_12456_9217_21846_47209_26369_116_45437_31506_22922 27509_14947_31343_13712_2086_21938_22935_19816_47209_12456_7948_21376_1376_21709_12442_9217_116_23233_6873_26369_26133_32433 14947_21709_27509_21376_45437_13712_26133_9217_10814_32655_47209_26369_5031_3397 14947_27509_21709_31343_13712_32655_3469_26133_26738_10814_29987_18908_14462 14947_21709_8638_13712_31343_32655_9217_47209_26369_12456_18908_37119_5025_23909_18849_5994_40203_32691_14891 14947_47209_21709_27509_13712_32655_23909_14462_26738_18849_23233_6873_10132_18840_43304_32839_21376 14947_21709_13712_47209_27509_32655_31343_23909_6873_12456_10132_43304_29987_2086_45437_3469_37119_5031_8193_34635_9666_26369_27344_42342_8854_14462 14947_26620_44769_27086_26683_27509_10132_3469_5031_37119_29311_27344_18594_19019_9666_14462_29987_6736 12576_21709_21376_26683_27509 14947_27509_26683_47209_32655_31343_10132_24499_16332_26620_47672_5646_22935_5499_28123_38012_27086_7948_12442_35383 14947_47209_27509_26683_26620_5031_7358_14976_26209_26369_23734_3397_27086 14197_300_4210_11078_16185_6101_40706_29987_2063_4799_26683_25305_36550_48109,115_91_129_21_54_106_26_26_24_83_93_107_19_19 129_115_21_91_54_83_83_128_24_106_36_107_105_115_74_26_93_112_83_83_4_116 115_115_129_107_107_91_4_26_106_86_24_83_67_107 115_129_115_21_91_86_59_4_26_106_21_58_110 115_115_37_91_21_86_26_24_83_106_58_96_83_84_30_59_37_37_26 115_24_115_129_91_86_84_110_26_30_112_83_21_45_38_106_107 115_115_91_24_129_86_21_84_83_106_21_38_21_54_107_59_96_67_83_38_112_83_96_96_104_110 115_115_25_53_91_129_21_59_67_96_63_96_21_96_112_110_21_25 115_115_107_91_129 115_129_91_24_86_21_21_107_107_115_106_106_83_69_116_69_53_36_74_112 115_24_129_91_115_67_30_104_24_83_108_107_53 9_17_84_131_21_131_123_21_21_21_91_26_86_107,7_16_1_16_17_12_7_7_4_4_3_19_13_13 1_7_16_16_17_4_4_3_4_12_16_19_13_7_17_7_3_3_4_4_9_1 7_7_1_19_19_16_9_7_12_16_4_4_20_19 7_1_7_16_16_16_15_9_7_12_16_1_13 7_7_1_16_16_16_7_4_4_12_1_20_4_16_6_15_1_1_7 7_4_7_1_16_16_16_13_7_6_3_4_16_19_1_12_19 7_7_16_4_1_16_16_16_4_12_16_1_16_17_19_15_20_20_4_1_3_4_20_20_13_13 7_7_11_16_16_1_16_15_20_20_9_20_16_20_3_13_16_11 7_7_19_16_1 7_1_16_4_16_16_16_19_19_7_12_12_4_15_1_15_16_16_17_3 7_4_1_16_7_20_6_13_4_4_16_19_16 9_13_16_9_16_9_4_16_16_16_16_7_16_19,0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0
